"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"43";"64";"Petter";"Christiansen";"M";"NOR";"RCK";"SS3";"Menn";"5:12.30";"0:59.20";"2014-08-23T15:16:42.3300000";"Bergen";""
"44";"77";"Håvard";"Rygg";"M";"NOR";"Bergen MTB Klubb";"SS3";"Menn";"5:12.90";"0:59.80";"2014-08-23T15:23:12.9140000";"BERGEN";""
"45";"47";"Even";"Nyhus";"M";"NOR";"NTNUI";"SS3";"Menn";"5:16.10";"1:03.00";"2014-08-23T15:08:16.1510000";"Bodø";""
"46";"56";"Jostein";"Børresen";"M";"NOR";"Drammen CK";"SS3";"Menn";"5:16.60";"1:03.50";"2014-08-23T15:12:46.6290000";"SOLBERGELVA";""
"47";"61";"Thomas";"Borthen";"M";"NOR";"Hey'di";"SS3";"Menn";"5:16.90";"1:03.80";"2014-08-23T15:15:16.9760000";"Skedsmokorset";""
"48";"55";"Sindre";"Hansen";"M";"NOR";"BERGEN";"SS3";"Menn";"5:18.80";"1:05.70";"2014-08-23T15:12:18.8000000";"BERGEN";""
"49";"69";"Halvor";"Molvig";"M";"NOR";"BØNES";"SS3";"Menn";"5:20.20";"1:07.10";"2014-08-23T15:19:20.2890000";"Bønes";""
"50";"89";"Erik";"Noss Poissant";"M";"NOR";"SOGNDAL";"SS3";"Menn";"5:23.50";"1:10.40";"2014-08-23T15:29:23.5470000";"SOGNDAL";""
"51";"92";"Nikolai";"Nygaard";"M";"NOR";"Team Sigg";"SS3";"Menn";"5:25.40";"1:12.30";"2014-08-23T15:30:55.4080000";"Bergen";""
"52";"50";"Christopher";"Svennevik";"M";"NOR";"Nordea BIL";"SS3";"Menn";"5:25.90";"1:12.80";"2014-08-23T15:09:55.9980000";"OSLOO";""
"53";"93";"Helge";"Tvedt";"M";"NOR";"Bergen MTB Klubb";"SS3";"Menn";"5:28.00";"1:14.90";"2014-08-23T15:31:28.0710000";"LAKSEVÅG";""
"54";"73";"Petter";"Nygaard";"M";"NOR";"OSLO";"SS3";"Menn";"5:32.80";"1:19.70";"2014-08-23T15:21:32.8760000";"Oslo";""
"55";"88";"Kristoffer";"Steen";"M";"NOR";"DRAMMEN";"SS3";"Menn";"5:35.40";"1:22.30";"2014-08-23T15:29:05.4630000";"DRAMMEN";""
"56";"91";"Morten";"Westberg";"M";"NOR";"Brembo Boyz";"SS3";"Menn";"5:35.60";"1:22.50";"2014-08-23T15:30:35.6770000";"OSLO";""
"57";"51";"Håkon";"Eggebø";"M";"NOR";"NTNUI";"SS3";"Menn";"5:37.50";"1:24.40";"2014-08-23T15:10:37.5470000";"STAVANGER";""
"58";"100";"Bjarte";"Nordås";"M";"NOR";"Bergen MTB Klubb";"SS3";"Menn";"5:41.90";"1:28.80";"2014-08-23T15:35:11.9260000";"Fana";""
